iter	RMSE
0	5583713.278
1	5334867.977
2	5099966.656
3	4880472.309
4	4671704.081
5	4489233.924
6	4307969.409
7	4140337.247
8	3982202.587
9	3828823.693
10	3682485.073
11	3545630.343
12	3420530.446
13	3301279.107
14	3176322.899
15	3064809.984
16	2955751.629
17	2857529.45
18	2760774.372
19	2671593.176
20	2589493.714
21	2516716.023
22	2443459.836
23	2377491.947
24	2313275.321
25	2249024.781
26	2192736.83
27	2138897.416
28	2074902.929
29	2023366.652
30	1978773.629
31	1936958.729
32	1884515.243
33	1843962.427
34	1797799.791
35	1755703.709
36	1718114.754
37	1685133.093
38	1648906.349
39	1620280.929
40	1597989.777
41	1570034.739
42	1550725.858
43	1521091.327
44	1501030.423
45	1481184.01
46	1456019.707
47	1431995.99
48	1414188.279
49	1402650.845
50	1398252.472
51	1388445.181
52	1372108.627
53	1363245.999
54	1349062.317
55	1345527.391
56	1342002.697
57	1338270.03
58	1327229.212
59	1310752.65
60	1293558.36
61	1283949.084
62	1275000.313
63	1262029.878
64	1247837.121
65	1243046.872
66	1234813.056
67	1223542.312
68	1211847.632
69	1201113.02
70	1197463.451
71	1194514.98
72	1191797.654
73	1179903.346
74	1177382.314
75	1172196.896
76	1166250.889
77	1163793.567
78	1161478.055
79	1150987.54
80	1148752.16
81	1146515.001
82	1139983.465
83	1134091.505
84	1131810.466
85	1122169.353
86	1120262.296
87	1115516.861
88	1113417.606
89	1109145.006
90	1104572.575
91	1102719.673
92	1097045.819
93	1087076.528
94	1085215.059
95	1078120.745
96	1071372.43
97	1070206.129
98	1064968.824
99	1056131.177
100	1054432.844
101	1043417.609
102	1041799.465
103	1032930.722
104	1027514.218
105	1019311.673
106	1017780.094
107	1013771.28
108	1010650.497
109	1009820.735
110	1006939.88
111	1001568.263
112	1000175.151
113	992818.1293
114	983289.0415
115	972616.3265
116	966880.0091
117	962711.775
118	958587.5063
119	957489.0964
120	951423.1622
121	948056.9689
122	946851.7909
123	940631.0114
124	939643.903
125	938505.5654
126	932634.3769
127	928170.7647
128	927342.9726
129	924633.6008
130	920164.2714
131	914810.0273
132	907441.0591
133	904625.0304
134	902709.5565
135	901677.986
136	896984.3844
137	890549.5697
138	888164.5687
139	879989.531
140	879025.4019
141	878088.09
142	875750.919
143	874846.7731
144	866740.203
145	865854.5989
146	861261.5472
147	859275.2339
148	858605.5288
149	856210.0704
150	853091.2053
151	852284.2025
152	842149.9271
153	836445.34
154	835843.3856
155	827894.1754
156	823598.9051
157	819601.8032
158	818195.496
159	817445.4749
160	812048.9264
161	808297.0417
162	798626.4548
163	797407.4099
164	796706.1414
165	792890.2804
166	790909.3851
167	787424.6989
168	782461.2093
169	779250.4022
170	776858.9476
171	770562.9989
172	765289.2328
173	762336.2399
174	759593.0295
175	757043.9366
176	750080.0269
177	742155.1507
178	738189.345
179	734994.6225
180	732314.3872
181	730403.1641
182	724132.4539
183	721343.8882
184	715685.5011
185	713225.8978
186	708057.9061
187	705674.3482
188	699702.6083
189	696792.2036
190	695071.024
191	689653.0236
192	686605.8324
193	685846.6045
194	684034.1957
195	682156.6086
196	678052.7284
197	672047.5849
198	670287.0958
199	668600.9568
200	667946.0582
201	664829.4996
202	662502.7631
203	660565.3428
204	659289.5983
205	654886.6903
206	653424.9363
207	651729.1658
208	649456.3661
209	646556.587
210	645186.435
211	641967.5284
212	640591.6832
213	639344.9961
214	637762.1968
215	636538.6135
216	634066.0252
217	632126.4985
218	630468.8038
219	628691.8868
220	625149.1856
221	621732.0377
222	620082.6484
223	618507.7841
224	617364.5106
225	614136.0147
226	612184.1539
227	610383.0995
228	608355.3183
229	607351.6331
230	605971.3871
231	603164.955
232	602130.1755
233	600151.37
234	598879.8149
235	597601.6766
236	596733.153
237	594948.2101
238	591986.2865
239	589142.3343
240	587835.3869
241	586971.5724
242	585298.1114
243	583510.3436
244	582394.4059
245	579789.0719
246	577116.6588
247	574794.1596
248	573655.4616
249	572348.693
250	571225.3823
251	568584.9098
252	567610.2715
253	564912.613
254	562646.0995
255	561691.2982
256	558226.1885
257	557335.3541
258	555782.9426
259	554863.7685
260	554025.16
261	552647.2841
262	550547.2978
263	548498.9825
264	547651.4882
265	545430.0637
266	543247.9117
267	542500.9762
268	540483.3411
269	538867.7015
270	536956.3494
271	535131.3
272	534322.8136
273	532603.2509
274	529841.4807
275	529083.0013
276	526748.2297
277	525718.5795
278	524363.3118
279	523616.2343
280	522089.3931
281	519718.3662
282	518249.5397
283	515813.0309
284	514200.9239
285	512962.306
286	512316.0039
287	511168.1444
288	510568.8758
289	508545.8397
290	507194.9162
291	505922.44
292	505270.396
293	503704.8643
294	501629.4013
295	501027.5296
296	499788.3427
297	498520.9172
298	497381.9559
299	496696.982
300	495368.583
301	494238.4984
302	492754.8316
303	491389.4685
304	490208.7844
305	489013.6505
306	487906.5072
307	487428.3884
308	486117.9672
309	485701.2479
310	484394.4048
311	483349.5554
312	482213.4547
313	480971.0551
314	479598.3425
315	478619.05
316	477180.1854
317	475680.3792
318	475118.8773
319	474595.9936
320	473553.4607
321	472448.1514
322	471572.3538
323	470319.6283
324	469471.577
