대표도면,출원번호,발명의명칭,발명의명칭(영문),상태,IPC분류,출원인,대리인,발명자,출원일자,등록번호,등록일자,공개번호,공개일자
,1020210147821,반려동물용 항산화 보조제 및 그 제조 방법(antioxidant supplements for companion animal and manufacturing method thereof),antioxidant supplements for companion animal and manufacturing method thereof,등록,A23K 20/10|A23K 50/40|A61K 9/48|A23K 20/158|A23K 20/174|A23K 20/179|A23K 20/142|A23K 20/20,(주)한국반려동물영양연구소,문춘오,정설령,2021.11.01,1024582310000.0,2022.10.19,,
,1020190100688,스마트폰을 이용한 반려동물 미용샵 예약관리 시스템 및 방법(RESERVATION SYSTEM AND METHOD FOR A PET BEAUTY SHOP USING SMARTPHONE),RESERVATION SYSTEM AND METHOD FOR A PET BEAUTY SHOP USING SMARTPHONE,거절,G06Q 50/10|G06Q 10/02|G06Q 30/02|G06Q 50/30|G01C 21/34|H04M 1/725,주식회사 펫미,우정연,백영호,2019.08.18,,,1020210021424.0,2021.02.26
,1020200081386,"반려동물의 3D 복원 및 감정 분석을 통한 컨텐츠 제공 서버, 사용자 단말 및 그 방법(SERVER AND USER EQUIPMENT FOR PROVIDING CONTENTS THROGUH 3D RECONSTRUCTION AND SENTIMENT ANALYSIS OF COMPANION ANIMALS, AND METHOD THEREOF)","SERVER AND USER EQUIPMENT FOR PROVIDING CONTENTS THROGUH 3D RECONSTRUCTION AND SENTIMENT ANALYSIS OF COMPANION ANIMALS, AND METHOD THEREOF",등록,G06T 7/55|G06T 7/194|G06T 13/40|G06T 11/60|G06Q 50/10,주식회사 엘지유플러스,특허법인 무한,유한규,2020.07.02,1024807580000.0,2022.12.20,1020220003768.0,2022.01.11
,1020210044524,딥러닝을 이용한 반려동물 질환 추론 모듈 및 전자 장치(A method and electronic device for distinguishing pet disease using deep-learning),A method and electronic device for distinguishing pet disease using deep-learning,공개,G16H 50/70|G16H 50/20|G16H 30/40|G16H 30/20|G06N 20/00|G06N 3/08|A61B 5/00|A61B 3/00,주식회사 알파도,박수영,지영호,2021.04.06,,,1020220138900.0,2022.10.14
,1020220060339,스마트 반려동물 배변패드 처리장치(Smart companion animal defecation pad disposal device),Smart companion animal defecation pad disposal device,등록,A01K 1/01|A01K 23/00,충북대학교 산학협력단,김정현,이아연|구승회,2022.05.17,1024807110000.0,2022.12.20,,
,1020190027779,반려동물 위생 및 건강관리 기기장치(Sanitary Management and Health Care Devices for Companion Animal),Sanitary Management and Health Care Devices for Companion Animal,등록,A01K 13/00|A01K 1/00|B01D 46/42|A01K 1/015|A61L 2/14,주식회사 사비코지,윤병국|이영규,안병인|문병철,2019.03.11,1020171290000.0,2019.08.27,,
,1020210049253,반려동물의 심리 및 성격유형검사 제공시스템(Companion animal's psychological and personality type test provision system),Companion animal's psychological and personality type test provision system,공개,G06Q 50/22|G16H 10/20|G06Q 30/06|G06Q 30/08,주식회사 카미랩,특허법인아이엠,박성희,2021.04.15,,,1020220142790.0,2022.10.24
,1020150078326,반려동물 자동 배변 밀폐 처리장치(Pet automatic excretion sealed processing equipment),Pet automatic excretion sealed processing equipment,등록,A01K 1/01|A01K 23/00|A01K 1/035,나상민,김기영,나상민,2015.06.03,1017518780000.0,2017.06.22,1020160142507.0,2016.12.13
,1020190028698,반려동물 전문 인력 매칭 및 종합 지원 시스템 및 방법(SYSTEM AND METHOD FOR COMPANION ANIMAL EXPERT MATCHING AND COMPREHENSIVE ANIMAL SUPPORT),SYSTEM AND METHOD FOR COMPANION ANIMAL EXPERT MATCHING AND COMPREHENSIVE ANIMAL SUPPORT,거절,G06Q 10/10|G06Q 10/06|G06Q 30/08|G06Q 50/10,주평강,오위환|나성곤|정기택,주평강,2019.03.13,,,1020200109532.0,2020.09.23
,1020210075800,반려동물 질병 추론 시스템 및 그 방법(System for inferencing disease of companion animal and Method therefor),System for inferencing disease of companion animal and Method therefor,공개,G16H 50/50|G16H 50/30|G16B 40/20|G16H 50/20|G16H 10/60|G16H 50/70|G16H 20/60|G16B 5/00,주식회사 에필,카이특허법인,이경준|박우석|주성일|김경호,2021.06.11,,,1020220166924.0,2022.12.20
