id,value
1,77596591.96634556
2,88985153.30014336
4,82467584.86018008
5,86406120.16643652
6,68293713.99197622
10,74152830.07636516
11,66985338.81343819
15,89236197.66332637
17,65637816.31068074
23,65101754.43010073
25,73752585.38080832
28,67542341.8596952
31,70424876.86352819
35,46588028.322032094
39,24660817.59932501
40,23556687.27988017
43,60495747.52729932
48,50340932.47576381
51,36115730.476650685
55,60625800.99169155
56,60941288.22289293
57,44001107.5664358
61,51833942.14772387
62,50643666.533538274
69,36993110.3645625
70,31239945.32938717
71,37427877.874223016
74,43620528.17208331
80,49577128.68697105
82,43064117.72432172
84,39828206.871950075
85,36467064.42967498
88,36769348.65793495
90,33831552.60680348
91,33956624.752145246
95,28995217.108839434
101,32957359.058252983
104,12762875.682369748
111,33056475.24720094
113,31884386.378728054
116,42562611.32620561
120,33936202.99883573
122,37720817.23729155
130,27984056.152278714
136,32757084.333181344
138,26601465.14715056
141,21271963.651189018
144,27421307.163623422
146,24131310.865699153
147,19206191.469321493
150,19727218.274794612
151,29778687.74953421
152,9218713.805804
158,23807214.45641923
159,28878958.620549962
160,31616042.332255278
162,32041908.934157826
168,31687351.04643309
172,28207204.139565658
177,31604072.21741067
181,27034587.63948263
183,32508615.69349949
184,32508653.28624419
186,29772524.386798434
187,30477089.454760298
192,29725777.500500783
193,29647080.92997102
194,22916965.91025522
200,24462757.59953539
201,10401513.095639504
204,23764961.046948865
206,28189332.02887052
208,25350324.479265876
219,19140416.44813224
221,9033641.696662478
227,29854149.145110264
231,6896111.789267914
233,29405902.288474035
235,28066734.30533637
237,22558056.3612746
238,25004704.95546036
239,25083013.04818593
255,20571119.356322963
258,21897486.188048497
260,23298673.702184655
272,22257254.904011138
273,20131362.141767073
275,26013559.579772316
279,20544376.459903643
281,22102076.60186374
284,21503604.063162055
286,20154589.248282228
292,19298991.23462157
300,12582892.764679981
301,12513831.846882993
303,14412539.388376925
304,18952252.542526677
315,8833617.083721025
318,3427523.520815698
320,17036295.22460099
322,22098597.372414522
323,27935953.95166644
326,27788650.930401575
328,25022432.69375986
337,21646502.461246166
339,20158295.416014224
342,21974284.391056955
343,23611988.390404016
360,17192752.25521191
364,20771927.43322819
365,17459163.922314502
367,20789531.782387916
368,15215298.208189778
369,14196141.685436739
372,17174339.79521931
376,19610526.015525054
379,17424191.209445484
380,21823713.229182065
383,15184906.20256116
385,10070390.652552199
386,14216066.265416736
390,15816683.174519135
391,15699000.820784707
393,15796481.399852011
400,7406240.669433785
403,7397314.41888813
413,21958850.410743944
416,20978403.935019553
423,15748106.87084252
424,16969572.29504074
426,14365948.274158163
427,19088628.673865348
428,14224609.936031321
429,20502720.35126244
431,11820402.056930613
432,17185195.037260406
433,17060128.935759064
439,8718359.096575495
443,16441616.942253029
444,19078332.301473558
446,19103389.622400515
449,18832115.35296281
456,17282192.01616746
457,13377333.293908976
464,14421745.423946572
468,17928980.016598154
472,12432639.797413772
474,16925279.738310333
483,11973395.686803132
488,13659621.194981707
494,12979206.493191488
499,8858067.42263354
505,11958076.443129824
506,14459928.73259103
510,13275258.548476731
511,10517287.832905075
512,6192683.941097749
517,10137344.849811452
521,13396588.452709364
522,9313380.490371194
523,12614508.595429625
526,11745033.578340426
531,10137344.849811452
540,1422793.0116560156
547,4385856.3502906915
555,18153731.538378876
556,17868915.145011723
563,4403252.965562547
564,19488237.66407057
566,10449162.803239021
573,8858685.256948464
574,16958162.015679248
581,17014056.191955823
588,11904955.637420036
590,15587147.539447429
591,15618614.206113813
595,15089570.615068622
596,13678714.990125408
597,16637067.475104935
599,14245490.011973081
600,10249266.563944392
602,11553356.835125996
603,13859510.006948551
606,15051538.930091089
613,11014374.61435406
615,12124011.061156536
620,16004820.52893333
623,11813412.892722527
624,10349148.136037543
628,10224376.586237092
630,12617314.10677831
635,14259219.22219606
636,13547138.23656563
638,15237542.182438098
662,10281726.725039802
664,11544440.096259614
665,10741122.162300734
670,12879107.476137556
672,12040441.638653837
677,12467379.864833038
680,11529277.683860403
695,8703153.162154779
705,8867241.97430043
713,5606708.738551914
716,4340320.093697008
717,6858133.908680417
720,14203323.20750479
723,13490503.28820253
725,15896888.16679363
731,8364891.762465646
733,8363009.087998483
734,12197084.54097439
738,14459075.533068324
740,11542204.802153016
743,12932901.906925049
747,13855036.375291832
750,12964763.057521906
752,11848917.108064841
753,9585420.33288036
756,10277229.050420694
758,9923461.556738023
768,16926292.689513676
770,11861261.717591345
772,9959270.586616999
773,11174737.920757893
791,12362570.54099296
793,14124042.96274205
794,9965487.309988433
798,11572434.733866097
799,8779989.673081428
801,14634668.063479047
804,13774764.914976314
805,12584762.597471656
811,10281967.249337737
822,11317369.413052639
