id,value
1,67298773.47909799
2,80499462.80160299
4,77701643.83704779
5,78003332.56698583
6,63239508.476875655
10,78292115.39284
11,60045860.773182526
15,77794021.67178291
17,67879272.24330033
23,69297723.86235854
25,65718423.01920858
28,74943118.58968133
31,67584798.43643795
35,39921976.10899587
39,9290992.974461783
40,13062358.704222323
43,65689824.36246391
48,51907119.88080341
51,35480171.20800382
55,75398992.6337744
56,73194787.34824546
57,50038839.29586812
61,52785501.112895444
62,57395808.96964492
69,37815393.16143987
70,32565055.365778048
71,38510273.66475471
74,46443694.621919215
80,42572806.11055377
82,37839227.0862667
84,42499908.883076355
85,34098584.58336306
88,36413179.421554394
90,35125579.23236908
91,35007801.033130206
95,30156944.028842814
101,33109459.49169934
104,21523826.47520834
111,34877498.96058477
113,34547490.409192614
116,53513709.09073265
120,35752189.42540084
122,40317436.21431204
130,26776278.864326507
136,30575653.728610475
138,27055336.231564317
141,24780251.690148704
144,26581038.21537454
146,22581470.776621543
147,21387962.250888016
150,19630018.653537944
151,27720854.999737684
152,5712786.472896459
158,22386160.75576883
159,28006623.407722853
160,30082039.2422576
162,33826397.2087849
168,33413282.947455212
172,28776706.94253025
177,26201945.2923797
181,28488537.631350353
183,33192510.46395042
184,33029516.981929872
186,28137993.970139567
187,30631129.031350583
192,30385190.382950444
193,29150869.538241792
194,21394167.703466777
200,25041906.876556944
201,12725431.750770867
204,25179381.33556378
206,31757051.43534548
208,26997928.423926275
219,20482584.051979896
221,8805847.343759554
227,29798254.18938351
231,6433115.580073298
233,30577202.54116211
235,26368155.566452496
237,19884459.902946927
238,26843353.30840966
239,26143211.215443004
255,20883744.21761763
258,21474172.661066655
260,23406715.76120998
272,22343523.353305228
273,20179643.804853156
275,26287405.209491376
279,17580698.43012494
281,21729629.107786555
284,21878774.6092138
286,19943490.240494724
292,19294177.627154883
300,12671932.633526986
301,11886182.829505684
303,14491993.337838432
304,18342485.782101735
315,8055569.315841287
318,2675317.0824218797
320,17436338.673040126
322,20742117.128923826
323,22567163.91766866
326,25454366.57012449
328,22136057.543277815
337,22141487.270722654
339,19216143.556247827
342,20625373.941969994
343,23415645.806539655
360,17509729.348720368
364,20002691.37920828
365,17992234.236401994
367,19997141.212985147
368,16265342.507823627
369,14760780.82994226
372,17591615.593089446
376,20462355.38139214
379,17040309.64079932
380,23079411.50620037
383,15208072.279630074
385,10845331.563375028
386,13996852.038770953
390,15639238.46940626
391,14542237.067380788
393,15631091.225713398
400,8071637.839982001
403,3898814.425186641
413,22576834.858587485
416,20669882.0357873
423,16572669.270168576
424,16562095.33185024
426,14168024.84569991
427,18560054.607126165
428,15549832.811299412
429,19849319.573110003
431,11848912.986015001
432,16866169.860527743
433,18147839.203897644
439,9133017.545797737
443,15833751.345435802
444,19632856.856303837
446,19629703.620952055
449,18959702.81914056
456,17951835.859537795
457,13564640.08316923
464,15513161.093932569
468,17545534.17515449
472,12914088.470375499
474,16472373.063664684
483,11865898.61777942
488,13274065.941410977
494,11697949.632122809
499,9306509.592997253
505,12225219.699836388
506,14880298.1204817
510,12974816.910852252
511,9855970.303382406
512,6085994.161143146
517,9577076.738680664
521,13195643.547564095
522,8862269.219902372
523,12953371.010018546
526,11154051.872266112
531,9577076.738680664
540,467181.8966431789
547,5800415.531551905
555,14943244.894198297
556,17738587.305049382
563,3705315.3247819664
564,17901916.463208828
566,9473063.57841026
573,9689347.323225468
574,17307436.17171171
581,17046053.030265693
588,12907595.200360801
590,16542066.236346575
591,16591925.542029988
595,15477448.11025775
596,13563170.586872607
597,17355128.96957104
599,14134728.230034063
600,9936681.41513897
602,11691855.202508183
603,14211893.46809913
606,15467535.503434326
613,10817602.4434969
615,11475689.490874264
620,16858005.236871872
623,12495310.609457273
624,10343705.128727011
628,10736626.531637862
630,12994488.012897685
635,14705000.055108763
636,13875914.169147275
638,15650353.737018397
662,9977932.248597728
664,10363875.25654115
665,10486407.420817368
670,12803258.651628634
672,12702618.341879869
677,12686325.149493098
680,11608411.590831183
695,8567472.297602044
705,8412638.686462821
713,5313170.152545162
716,3864913.973900405
717,5894490.576686904
720,12285669.273175739
723,12819022.51046317
725,15442992.223766249
731,7710936.299042811
733,7761987.046163214
734,12564810.031372609
738,13192712.894887352
740,11860201.767070936
743,13364977.128697151
747,12749913.04064723
750,12808056.494407717
752,11756732.727534108
753,9284035.276581815
756,10782140.344293201
758,10390640.082931457
768,16581929.638448454
770,11655810.10101029
772,9624889.14818308
773,11036444.6294478
791,12479605.64806969
793,14076739.847361231
794,9560540.030546805
798,11556007.606090415
799,8685839.336860092
801,13801579.713849666
804,13921350.786388278
805,12955814.822645336
811,10457030.04563426
822,11739961.548550362
824,11719443.454081282
827,10717398.704121776
828,10584565.04204885
832,10447951.932982069
837,11370889.83311187
844,10346116.823601963
851,9129413.692039408
852,10147330.346474387
854,9133301.50508033
856,11458006.225128448
860,10582553.52236292
867,5579200.300683169
877,10107608.457965031
880,5970750.73915851
883,10200564.982500734
885,7657675.8986948375
889,11320266.469900662
891,7638853.22517438
894,4072839.799981807
897,9970725.802523669
898,9023650.238138076
899,4714987.14947573
904,10553379.576660315
906,9944951.547202818
907,7053854.124020012
910,8266139.985790823
915,1591347.6553905567
917,8959422.220920535
919,11002724.706218593
925,7694082.01527654
928,6429188.760533246
940,3587592.562721253
945,9458064.281370534
946,8177714.659947379
951,8144756.488305659
953,11616907.174352966
959,5818149.832841692
961,7075128.519143843
963,6202613.709853878
965,5970340.756606906
971,5260504.848582366
973,6682549.008157359
983,4399418.495919445
985,8707586.838926021
997,4868000.947279944
998,6228175.415386167
999,8255863.137931291
1004,3008984.0744627556
1012,6305295.872021814
1014,11628483.000586972
1021,4703986.050620236
1024,11838751.3824923
1028,9913279.7673915
1034,8059476.857890457
1037,5874291.285461815
1038,12509625.806590911
1041,8033964.618229021
1043,6689873.214783702
1044,12614344.937179113
1048,11712202.351824282
1054,20044610.6572315
1058,9012884.842340436
1059,6256839.900386503
1061,11285401.621751606
1068,2885919.251336278
1070,5629272.654943149
1075,11741322.749296797
1076,3929235.3842560886
1078,7587806.540724103
1080,7487938.392920607
1082,13294322.457364852
1084,2577039.9592015054
1085,6682549.008157359
1088,10767241.636963312
1091,10720508.36057575
1094,12009510.531863322
1096,8751415.879555373
1099,8284275.898095268
1101,8066729.79284641
1103,9263945.709310284
1107,10127780.48146697
1108,10322669.786119055
1110,7019337.204862117
1117,8762300.811829694
1119,9899719.050084267
1120,8787003.466609795
1122,6832942.392976223
1130,15041573.908040885
1136,12406860.405677691
1137,7025210.908394201
1139,12060855.985479848
1140,10426727.804844407
1141,12916578.734746791
1144,9718862.700086143
1148,8109691.89798782
1165,8654826.752533674
1168,13750825.589089634
1174,9874404.887776686
1179,8582549.092099981
1187,11226577.31727962
1188,9044171.160660176
1190,2888390.862820467
1196,7802457.019388116
1197,4288068.4063812345
1200,8619087.203908984
1201,9016609.533896605
1203,4665094.609104928
1205,7502041.302358949
1208,8455906.52582286
1212,8034030.506788253
1213,7833760.66372868
1214,11213361.12760696
1217,7238030.905696858
1224,5769073.2440865
1228,9743955.04769598
1229,6905199.741933527
1239,7486141.314390184
1240,7278465.531997673
1247,10459205.90012544
1259,11305839.756923238
1261,8170140.925649478
1265,9084656.779564794
1268,8192050.872663554
1269,476871.509811652
1271,11872783.090401748
1274,8230215.77497275
1275,7690242.072555976
1276,9380997.378040684
1277,3534648.868591315
1278,8366937.463846296
1288,6003398.9182863915
1291,7136074.161896341
1296,8705879.869612766
1297,7748313.238206851
1302,12742404.718872625
1304,10552071.388670579
1306,8021666.290726313
1307,2719323.4103679806
1309,2081316.3860292742
1310,8313145.917427985
1314,6822547.672818283
1316,8310932.209143754
1317,11618604.748093085
1323,5059250.316750273
1324,7954934.408020871
1325,8658733.931158656
1326,1729069.1489770121
1331,5291257.1878769295
1333,5754569.658864997
1334,8013669.539918366
1335,7281180.736338929
1337,8425260.986102471
1347,11072445.626758555
